Author,Title,Year of publication,,Country of study,Native or invasive,Days collected,Number collected,One day collection,Density per day,Mosquito stage reclassification,Biting indoor or outdoor,Resting indoor or outdoor,Breeding site,Condensed breeding site,Collection_method,Condensed collection method,Method,Origin
"N Pemola Devi; Jauhari, R K",Relationship between Anopheles fluviatilis & A. stephensi (Diptera: Culicidae) catches & the prevalence of malaria cases at Kalsi area in Dehradun district (Uttaranchal),2006,,India,Native,939,420,0.447284345,,Adult,Indoor,Indoor,,,Aspiration,Aspiration targeting resting mosquitoes,r,n
"Faraji-Fard, P.; Ahmadi-Angali, K.; Behbahani, A.",Species Variety of the Calf and Human-Attracted Mosquitoes in Southwest Iran,2021,,Iran,Native,162,10,0.061728395,,Adult,,,,,Human baited trap,Host seeking human baited trap,b,n
"Faraji-Fard, P.; Ahmadi-Angali, K.; Behbahani, A.",Species Variety of the Calf and Human-Attracted Mosquitoes in Southwest Iran,2021,,Iran,Native,162,47,0.290123457,,Adult,Outdoor,,,,Calf baited trap,Host seeking animal baited trap,b,n
"Faraji-Fard, P.; Ahmadi-Angali, K.; Behbahani, A.",Species Variety of the Calf and Human-Attracted Mosquitoes in Southwest Iran,2021,,Iran,Native,162,47,0.29,,Adult,,,,,Calf baited,Host seeking animal baited trap,b,n
"Faraji-Fard, P.; Ahmadi-Angali, K.; Behbahani, A.",Species Variety of the Calf and Human-Attracted Mosquitoes in Southwest Iran,2021,,Iran,Native,162,10,0.0617,,Adult,,,,,Human baited trap,Host seeking human baited trap,b,n
"Fathian, M.; Vatandoost, H.; Moosa-Kazemi, S. H.; Raeisi, A.; Yaghoobi-Ershadi, M. R.; Oshaghi, M. A.; Sedaghat, M. M.",Susceptibility of Culicidae Mosquitoes to Some Insecticides Recommended by WHO in a Malaria Endemic Area of Southeastern Iran,2015,,Iran,Native,260,1495,5.75,,Larvae,,,,,Dipping,Aquatic larval collection,,n
"Hanafi-Bojd, A. A.; Vatandoost, H.; Oshaghi, M. A.; Haghdoost, A. A.; Shahi, M.; Sedaghat, M. M.; Abedi, F.; Yeryan, M.; Pakari, A.",Entomological and epidemiological attributes for malaria transmission and implementation of vector control in southern Iran,2012,,Iran,Native,313,480,1.533546326,0,Larvae,,,Clay beds,Non-vegetated areas,Dipping,Aquatic larval collection,,n
"Hanafi-Bojd, A. A.; Vatandoost, H.; Oshaghi, M. A.; Haghdoost, A. A.; Shahi, M.; Sedaghat, M. M.; Abedi, F.; Yeryan, M.; Pakari, A.",Entomological and epidemiological attributes for malaria transmission and implementation of vector control in southern Iran,2012,,Iran,Native,313,1,0.003194888,,Adult,,Indoor,,,Pit shelter,Aspiration targeting resting mosquitoes,r,n
"Herrel, N.; Amerasinghe, F. P.; Ensink, J.; Mukhtar, M.; van der Hoek, W.; Konradsen, F.","Adult anopheline ecology and malaria transmission in irrigated areas of South Punjab, Pakistan",2004,,Pakistan,Native,314,8512,27.10828025,,Adult,Indoor,Indoor,,,Pyrethroid spray catch,Pyrethrum spray catch ,r,n
"Herrel, N.; Amerasinghe, F. P.; Ensink, J.; Mukhtar, M.; van der Hoek, W.; Konradsen, F.","Adult anopheline ecology and malaria transmission in irrigated areas of South Punjab, Pakistan",2004,,Pakistan,Native,314,2557,8.143312102,,Adult,Outdoor,,,,Aspiration,Aspiration targeting resting mosquitoes,r,n
"Herrel, N.; Amerasinghe, F. P.; Ensink, J.; Mukhtar, M.; van der Hoek, W.; Konradsen, F.","Adult anopheline ecology and malaria transmission in irrigated areas of South Punjab, Pakistan",2004,,Pakistan,Native,314,130,0.414012739,,Adult,Outdoor,,,,Aspiration,Aspiration targeting resting mosquitoes,r,n
"Hewitt, S. E.; Farhan, M.; Urhaman, H.; Muhammad, N.; Kamal, M.; Rowland, M. W.",Self-protection from malaria vectors in Pakistan: An evaluation of popular existing methods and appropriate new techniques in Afghan refugee communities,1996,,Pakistan,Native,36,2925,81.25,,Adult,Indoor,,,,,,,n
"Hewitt, S.; Rowland, M.; Muhammad, N.; Kamal, M.; Kemp, E.",PYRETHROID-SPRAYED TENTS FOR MALARIA CONTROL - AN ENTOMOLOGICAL EVALUATION IN PAKISTAN,1995,,Pakistan,Native,52,664,12.76923077,,Adult,Outdoor,Indoor,,,Cow baited tents,Host seeking animal baited trap,b,n
"Khan, S. Y.; Butt, A.; Tahir, H. M.; Shafaat, S.","Response of Anopheles stephensi to Deltamethrin in Lahore District, Pakistan",2013,,Pakistan,Native,26,1200,46.15384615,,Adult,Indoor,Indoor,,,Aspiration,Aspiration targeting resting mosquitoes,r,n
"Khoobdel, M.; Azari-Hamidian, S.; Hanafi-Bojd, A. A.","Mosquito fauna (Diptera: Culicidae) of the Iranian islands in the Persian Gulf II. Greater Tonb, Lesser Tonb and Kish Islands",2012,,Iran,Native,129,13,0.100775194,,Adult,,,,,,,,n
"Khoobdel, M.; Azari-Hamidian, S.; Hanafi-Bojd, A. A.","Mosquito fauna (Diptera: Culicidae) of the Iranian islands in the Persian Gulf II. Greater Tonb, Lesser Tonb and Kish Islands",2012,,Iran,Native,92,21,0.22826087,0.000570652,Larvae,,,,,Dipping,Aquatic larval collection,,n
"Korgaonkar, N. S.; Kumar, A.; Yadav, R. S.; Kabadi, D.; Dash, A. P.","Sampling of adult mosquito vectors with Mosquito Magnet Pro in Panaji, Goa, India",2008,,India,Native,34,59,1.735294118,,Adult,Outdoor,,,,Commercial trap (Mosquito magnet can),Mechanical trap,b,n
"Korgaonkar, N. S.; Kumar, A.; Yadav, R. S.; Kabadi, D.; Dash, A. P.","Mosquito biting activity on humans & detection of Plasmodium falciparum infection in Anopheles stephensi in Goa, India",2012,,India,Native,85,55,0.647058824,,Adult,Indoor,,,,Human landing catch,Host seeking human baited trap,b,n
"Krishnan, J.; Mathiarasan, L.",Prevalence of disease vectors in Lakshadweep Islands during post-monsoon season,2018,,India,Native,79,202,2.556962025,,Adult,,,,,,,,n
"Krishnan, J.; Mathiarasan, L.",Prevalence of disease vectors in Lakshadweep Islands during post-monsoon season,2018,,India,Native,65,5,0.076923077,0.000334448,Larvae,,,Ponds,Wet vegetated areas,,Aquatic larval collection,,n
"Krishnan, J.; Mathiarasan, L.",Prevalence of disease vectors in Lakshadweep Islands during post-monsoon season,2018,,India,Native,65,10,0.153846154,0.000668896,Larvae,,,Pits,Waste water,,Aquatic larval collection,,n
"Krishnan, J.; Mathiarasan, L.",Prevalence of disease vectors in Lakshadweep Islands during post-monsoon season,2018,,India,Native,65,110,1.692307692,0.00735786,Larvae,,,Tree holes,Wet vegetated areas,,Aquatic larval collection,,n
"Krishnan, J.; Mathiarasan, L.",Prevalence of disease vectors in Lakshadweep Islands during post-monsoon season,2018,,India,Native,65,82,1.261538462,0.00548495,Larvae,,,Discarded aluminum pots,Discarded human goods,,Aquatic larval collection,,n
"Krishnan, J.; Mathiarasan, L.",Prevalence of disease vectors in Lakshadweep Islands during post-monsoon season,2018,,India,Native,65,78,1.2,0.005217391,Larvae,,,Cement tanks,Drinking water reservoirs,,Aquatic larval collection,,n
"Krishnan, J.; Mathiarasan, L.",Prevalence of disease vectors in Lakshadweep Islands during post-monsoon season,2018,,India,Native,65,130,2,0.008695652,Larvae,,,Unused wells,Waste water,,Aquatic larval collection,,n
"Krishnan, J.; Mathiarasan, L.",Prevalence of disease vectors in Lakshadweep Islands during post-monsoon season,2018,,India,Native,65,240,3.692307692,0.016053512,Larvae,,,Open sintex tanks,Drinking water reservoirs,,Aquatic larval collection,,n
"Krishnan, J.; Mathiarasan, L.",Prevalence of disease vectors in Lakshadweep Islands during post-monsoon season,2018,,India,Native,65,30,0.461538462,0.002006689,Larvae,,,Damaged boats,Discarded human goods,,Aquatic larval collection,,n
"Krishnan, J.; Mathiarasan, L.",Prevalence of disease vectors in Lakshadweep Islands during post-monsoon season,2018,,India,Native,65,527,8.107692308,0.035250836,Larvae,,,Discarded plastic containers,Discarded human goods,,Aquatic larval collection,,n
"Mojahedi, A. R.; Safari, R.; Yarian, M.; Pakari, A.; Raeisi, A.; Edalat, H.; Beniardelan, M.; Poudat, A.; Zaim, M.; Basseri, H. R.","Biting and resting behaviour of malaria vectors in Bandar-Abbas County, Islamic Republic of Iran",2020,,Iran,Native,313,102,0.325878594,,Adult,Indoor,Indoor,,,Pyrethrum spray catch ,Pyrethrum spray catch ,r,n
"Mojahedi, A. R.; Safari, R.; Yarian, M.; Pakari, A.; Raeisi, A.; Edalat, H.; Beniardelan, M.; Poudat, A.; Zaim, M.; Basseri, H. R.","Biting and resting behaviour of malaria vectors in Bandar-Abbas County, Islamic Republic of Iran",2020,,Iran,Native,313,20,0.063897764,,Adult,Outdoor,Outdoor,,,Outdoor resting collection,Aspiration targeting resting mosquitoes,r,n
"Mojahedi, A. R.; Safari, R.; Yarian, M.; Pakari, A.; Raeisi, A.; Edalat, H.; Beniardelan, M.; Poudat, A.; Zaim, M.; Basseri, H. R.","Biting and resting behaviour of malaria vectors in Bandar-Abbas County, Islamic Republic of Iran",2020,,Iran,Native,313,79,0.252396166,,Adult,,,,,Human landing catch,Host seeking human baited trap,b,n
"Mojahedi, A. R.; Safari, R.; Yarian, M.; Pakari, A.; Raeisi, A.; Edalat, H.; Beniardelan, M.; Poudat, A.; Zaim, M.; Basseri, H. R.","Biting and resting behaviour of malaria vectors in Bandar-Abbas County, Islamic Republic of Iran",2020,,Iran,Native,313,290,0.926517572,,Adult,Outdoor,,,,Cow landing catch,Host seeking animal baited trap,b,n
"Moosa-Kazemi, S. H.; Vatandoost, H.; Raeisi, A.; Akbarzadeh, K.","Deltamethrin Impregnated Bed Nets in a Malaria Control Program in Chabahar, Southeast Baluchistan, IR Iran",2007,,Iran,Native,236,3632,15.38983051,,Adult,Indoor,Indoor,,,Pyrethrum spray catch ,Pyrethrum spray catch ,r,n
"Mukhtar, M.; Ensink, J.; Van der Hoek, W.; Amerasinghe, F. P.; Konradsen, F.",Importance of waste stabilization ponds and wastewater irrigation in the generation of vector mosquitoes in Pakistan,2006,,Pakistan,Native,260,5530,21.26923077,0.078774929,Larvae,,,Waste ponds,Waste water,Dipping,Aquatic larval collection,,n
"Mukhtar, M.; Ensink, J.; Van der Hoek, W.; Amerasinghe, F. P.; Konradsen, F.",Importance of waste stabilization ponds and wastewater irrigation in the generation of vector mosquitoes in Pakistan,2006,,Pakistan,Native,260,9447,36.33461538,0.13457265,Larvae,,,Irrigated sites,Wet vegetated areas,Dipping,Aquatic larval collection,,n
"Mukhtar, M.; Ensink, J.; Van der Hoek, W.; Amerasinghe, F. P.; Konradsen, F.",Importance of waste stabilization ponds and wastewater irrigation in the generation of vector mosquitoes in Pakistan,2006,,Pakistan,Native,183,1250,6.830601093,,Adult,Indoor,Indoor,,,,,,n
"Nagpal, B. N.; Srivastava, A.; Kalra, N. L.; Subbarao, S. K.",Spiracular indices in Anopheles stephensi: A taxonomic tool to identify ecological variants,2003,,India,Native,261,2944,11.27969349,,Adult,Indoor,,,,Hand capture,Aspiration targeting resting mosquitoes,r,n
"Nagpal, B. N.; Srivastava, A.; Kalra, N. L.; Subbarao, S. K.",Spiracular indices in Anopheles stephensi: A taxonomic tool to identify ecological variants,2003,,India,Native,261,295,1.130268199,,Adult,Outdoor,,,,Hand capture,Aspiration targeting resting mosquitoes,r,n
"Ravishankaran, S.; Asokan, A.; Justin, Naja; Thomas, S.; Joshua, V.; Mathai, M. T.; Eapen, A.","Does the roof type of a house influence the presence of adult Anopheles stephensi, urban malaria vector? - evidence from a few slum settings in Chennai, India",2022,,India,Native,417,120,0.287769784,,Adult,Outdoor,,,,CDC light trap,Mechanical trap,b,n
"Ravishankaran, S.; Asokan, A.; Justin, Naja; Thomas, S.; Joshua, V.; Mathai, M. T.; Eapen, A.","Does the roof type of a house influence the presence of adult Anopheles stephensi, urban malaria vector? - evidence from a few slum settings in Chennai, India",2022,,India,Native,417,132,0.316546763,,Adult,Indoor,,,,CDC light trap,Mechanical trap,b,n
"Ravishankaran, S.; Asokan, A.; Justin, Naja; Thomas, S.; Mathai, M. T.; Eapen, A.","Are Dawn Collections of Anopheles stephensi a Better Method To Estimate the Resting Vector Density? A Study from Chennai, India",2021,,India,Native,627,8145,12.99043062,,Adult,Outdoor,Outdoor,,,Cattle baited,Host seeking animal baited trap,b,n
"Rowland, M.; Durrani, N.; Kenward, M.; Mohammed, N.; Urahman, H.; Hewitt, S",Control of malaria in Pakistan by applying deltamethrin insecticide to cattle: a community-randomised trial,2001,,Pakistan,Native,730,368,0.504109589,,Adult,Outdoor,,,,Pyrethrum spray catch ,Pyrethrum spray catch ,r,n
"Sanei-Dehkordi, A.; Soleimani-Ahmadi, M.; Jaberhashemi, S. A.; Zare, M.","Species composition, seasonal abundance and distribution of potential anopheline vectors in a malaria endemic area of Iran: field assessment for malaria elimination",2019,,Iran,Native,260,82,0.315384615,0.00525641,Larvae,,,Foothills,Dry vegetated areas,Dipping,Aquatic larval collection,,n
"Sanei-Dehkordi, A.; Soleimani-Ahmadi, M.; Jaberhashemi, S. A.; Zare, M.","Species composition, seasonal abundance and distribution of potential anopheline vectors in a malaria endemic area of Iran: field assessment for malaria elimination",2019,,Iran,Native,313,188,0.600638978,,Adult,Indoor,Indoor,,,Pyrethrum spray catch ,Pyrethrum spray catch ,r,n
"Soleimani-Ahmadi, M.; Vatandoost, H.; Shaeghi, M.; Raeisi, A.; Abedi, F.; Eshraghian, M. R.; Madani, A.; Safari, R.; Oshaghi, M. A.; Abtahi, M.; Hajjaran, H.","Field evaluation of permethrin long-lasting insecticide treated nets (Olyset (R)) for malaria control in an endemic area, southeast of Iran",2012,,Iran,Native,313,40,0.127795527,,Adult,Indoor,Indoor,,,Hand catch,Aspiration targeting resting mosquitoes,r,n
"Soleimani-Ahmadi, M.; Vatandoost, H.; Shaeghi, M.; Raeisi, A.; Abedi, F.; Eshraghian, M. R.; Madani, A.; Safari, R.; Oshaghi, M. A.; Abtahi, M.; Hajjaran, H.","Field evaluation of permethrin long-lasting insecticide treated nets (Olyset (R)) for malaria control in an endemic area, southeast of Iran",2012,,Iran,Native,313,158,0.504792332,,Adult,Indoor,Indoor,,,Pyrethrum spray catch ,Pyrethrum spray catch ,r,n
"Soleimani-Ahmadi, M.; Vatandoost, H.; Shaeghi, M.; Raeisi, A.; Abedi, F.; Eshraghian, M. R.; Madani, A.; Safari, R.; Oshaghi, M. A.; Abtahi, M.; Hajjaran, H.","Field evaluation of permethrin long-lasting insecticide treated nets (Olyset (R)) for malaria control in an endemic area, southeast of Iran",2012,,Iran,Native,313,92,0.293929713,,Adult,Outdoor,Outdoor,,,Pit shelter,Aspiration targeting resting mosquitoes,r,n
"Soleimani-Ahmadi, M.; Vatandoost, H.; Shaeghi, M.; Raeisi, A.; Abedi, F.; Eshraghian, M. R.; Madani, A.; Safari, R.; Oshaghi, M. A.; Abtahi, M.; Hajjaran, H.","Field evaluation of permethrin long-lasting insecticide treated nets (Olyset (R)) for malaria control in an endemic area, southeast of Iran",2012,,Iran,Native,313,218,0.696485623,,Adult,Outdoor,Outdoor,,,Night biting catch,Host seeking animal baited trap,b,n
"Soleimani-Ahmadi, M.; Vatandoost, H.; Shaeghi, M.; Raeisi, A.; Abedi, F.; Eshraghian, M. R.; Madani, A.; Safari, R.; Shahi, M.; Mojahedi, A.; Poorahmad-Garbandi, F.",Vector ecology and susceptibility in a malaria-endemic focus in southern Islamic Republic of Iran,2012,,Iran,Native,339,63,0.185840708,,Adult,Indoor,Indoor,,,Pyrethrum spray catch ,Pyrethrum spray catch ,r,n
"Soleimani-Ahmadi, M.; Vatandoost, H.; Shaeghi, M.; Raeisi, A.; Abedi, F.; Eshraghian, M. R.; Madani, A.; Safari, R.; Shahi, M.; Mojahedi, A.; Poorahmad-Garbandi, F.",Vector ecology and susceptibility in a malaria-endemic focus in southern Islamic Republic of Iran,2012,,Iran,Native,283,97,0.342756184,0.001428151,Larvae,,,,,Dipping,Aquatic larval collection,,n
"Soleimani-Ahmadi, M.; Vatandoost, H.; Shaeghi, M.; Raeisi, A.; Abedi, F.; Eshraghian, M. R.; Madani, A.; Safari, R.; Shahi, M.; Mojahedi, A.; Poorahmad-Garbandi, F.",Vector ecology and susceptibility in a malaria-endemic focus in southern Islamic Republic of Iran,2012,,Iran,Native,339,9,0.026548673,,Adult,Outdoor,Outdoor,,,Pit shelter,Aspiration targeting resting mosquitoes,r,n
"Soleimani-Ahmadi, M.; Vatandoost, H.; Shaeghi, M.; Raeisi, A.; Abedi, F.; Eshraghian, M. R.; Madani, A.; Safari, R.; Shahi, M.; Mojahedi, A.; Poorahmad-Garbandi, F.",Vector ecology and susceptibility in a malaria-endemic focus in southern Islamic Republic of Iran,2012,,Iran,Native,339,12,0.03539823,,Adult,,,,,Hand catch,Aspiration targeting resting mosquitoes,r,n
"Soleimani-Ahmadi, M.; Vatandoost, H.; Shaeghi, M.; Raeisi, A.; Abedi, F.; Eshraghian, M. R.; Madani, A.; Safari, R.; Shahi, M.; Mojahedi, A.; Poorahmad-Garbandi, F.",Vector ecology and susceptibility in a malaria-endemic focus in southern Islamic Republic of Iran,2012,,Iran,Native,339,6,0.017699115,,Adult,Outdoor,,,,Night biting catch,Host seeking animal baited trap,b,n
"Sanei-Dehkordi, A.; Soleimani-Ahmadi, M.; Jaberhashemi, S. A.; Zare, M.","Species composition, seasonal abundance and distribution of potential anopheline vectors in a malaria endemic area of Iran: field assessment for malaria elimination",2019,,Iran,Native,260,79,0.303846154,0.005064103,Larvae,,,Mountainous areas,Dry vegetated areas,Dipping,Aquatic larval collection,,n
"Soleimani-Ahmadi, M.; Vatandoost, H.; Zare, M.",Characterization of larval habitats for anopheline mosquitoes in a malarious area under elimination program in the southeast of Iran,2014,,Iran,Native,260,76,0.292307692,0.000221445,Larvae,,,Vegetative areas,Wet vegetated areas,Dipping,Aquatic larval collection,,n
"Soleimani-Ahmadi, M.; Vatandoost, H.; Zare, M.",Characterization of larval habitats for anopheline mosquitoes in a malarious area under elimination program in the southeast of Iran,2014,,Iran,Native,260,182,0.7,0.000530303,Larvae,,,Non-vegetative areas,Non-vegetated areas,Dipping,Aquatic larval collection,,n
"Soleimani-Ahmadi, M.; Vatandoost, H.; Zare, M.; Turki, H.; Alizadeh, A.",Topographical distribution of anopheline mosquitoes in an area under elimination programme in the south of Iran,2015,,Iran,Native,260,455,1.75,0.019444444,Larvae,,,Coastal plains,Wet vegetated areas,Dipping,Aquatic larval collection,,n
"Soleimani-Ahmadi, M.; Vatandoost, H.; Zare, M.; Turki, H.; Alizadeh, A.",Topographical distribution of anopheline mosquitoes in an area under elimination programme in the south of Iran,2015,,Iran,Native,260,331,1.273076923,0.014145299,Larvae,,,Foothills,Dry vegetated areas,Dipping,Aquatic larval collection,,n
"Soleimani-Ahmadi, M.; Vatandoost, H.; Zare, M.; Turki, H.; Alizadeh, A.",Topographical distribution of anopheline mosquitoes in an area under elimination programme in the south of Iran,2015,,Iran,Native,260,154,0.592307692,0.006581197,Larvae,,,Mountainous areas,Dry vegetated areas,Dipping,Aquatic larval collection,,n
"Sukumaran, D.; Ponmariappan, S.; Sharma, A. K.; Jha, H. K.; Wasu, Y. H.; Sharma, A. K",Application of biogenic carbon dioxide produced by yeast with different carbon sources for attraction of mosquitoes towards adult mosquito traps,2016,,India,Native,10,12,1.2,,Adult,,,,,Mosquito Killing System with biogenic CO2,Mechanical trap,b,n
"Sukumaran, D.; Ponmariappan, S.; Sharma, A. K.; Jha, H. K.; Wasu, Y. H.; Sharma, A. K",Application of biogenic carbon dioxide produced by yeast with different carbon sources for attraction of mosquitoes towards adult mosquito traps,2016,,India,Native,10,8,0.8,,Adult,,,,,Mosquito Killing System,Mechanical trap,b,n
"Sukumaran, D.; Ponmariappan, S.; Sharma, A. K.; Jha, H. K.; Wasu, Y. H.; Sharma, A. K",Application of biogenic carbon dioxide produced by yeast with different carbon sources for attraction of mosquitoes towards adult mosquito traps,2016,,India,Native,10,13,1.3,,Adult,,,,,Biogents Sentinel trap with biogenic CO2,Mechanical trap,b,n
"Sukumaran, D.; Ponmariappan, S.; Sharma, A. K.; Jha, H. K.; Wasu, Y. H.; Sharma, A. K",Application of biogenic carbon dioxide produced by yeast with different carbon sources for attraction of mosquitoes towards adult mosquito traps,2016,,India,Native,10,3,0.3,,Adult,,,,,Biogents Sentinel trap,Mechanical trap,b,n
"Sumodan, P. K.; Kumar, A.; Yadav, R. S.","Resting behavior and malaria vector incrimination of Anopheles stephensi in Goa, India",2004,,India,Native,444,38,0.085585586,,Adult,Indoor,Indoor,,,Aspiration,Aspiration targeting resting mosquitoes,r,n
"Surendran, S. N.; Jayadas, T. T. P.; Tharsan, A.; Thiruchenthooran, V.; Santhirasegaram, S.; Sivabalakrishnan, K.; Raveendran, S.; Ramasamy, R.","Anopheline bionomics, insecticide resistance and transnational dispersion in the context of controlling a possible recurrence of malaria transmission in Jaffna city in northern Sri Lanka",2020,,Sri Lanka,Invasive,370,120,0.324324324,0.006486486,Larvae,,,Water storage tanks,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
"Surendran, S. N.; Jayadas, T. T. P.; Tharsan, A.; Thiruchenthooran, V.; Santhirasegaram, S.; Sivabalakrishnan, K.; Raveendran, S.; Ramasamy, R.","Anopheline bionomics, insecticide resistance and transnational dispersion in the context of controlling a possible recurrence of malaria transmission in Jaffna city in northern Sri Lanka",2020,,Sri Lanka,Invasive,370,642,1.735135135,0.034702703,Larvae,,,Wells,Drinking water reservoirs,Conical drop nets,Aquatic larval collection,,i
"Surendran, S. N.; Sivabalakrishnan, K.; Sivasingham, A.; Jayadas, T. T. P.; Karvannan, K.; Santhirasegaram, S.; Gajapathy, K.; Senthilnanthanan, M.; Karunaratne, Shpp; Ramasamy, R.",Anthropogenic Factors Driving Recent Range Expansion of the Malaria Vector Anopheles stephensi,2019,,Sri Lanka,Invasive,5,189,37.8,0.1512,Larvae,,,Wells,Drinking water reservoirs,Conical drop nets,Aquatic larval collection,,i
"Surendran, S. N.; Sivabalakrishnan, K.; Sivasingham, A.; Jayadas, T. T. P.; Karvannan, K.; Santhirasegaram, S.; Gajapathy, K.; Senthilnanthanan, M.; Karunaratne, Shpp; Ramasamy, R.",Anthropogenic Factors Driving Recent Range Expansion of the Malaria Vector Anopheles stephensi,2019,,Sri Lanka,Invasive,5,12,2.4,0.0096,Larvae,,,Cement tanks,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
"Tadesse, F. G.; Ashine, T.; Teka, H.; Esayas, E.; Messenger, L. A.; Chali, W.; Meerstein-Kessel, L.; Walker, T.; Wolde Behaksra, S.; Lanke, K.; Heutink, R.; Jeffries, C. L.; Mekonnen, D. A.; Hailemeskel, E.; Tebeje, S. K.; Tafesse, T.; Gashaw, A.; Tsegaye, T.; Emiru, T.; Simon, K.; Bogale, E. A.; Yohannes, G.; Kedir, S.; Shumie, G.; Sabir, S. A.; Mumba, P.; Dengela, D.; Kolaczinski, J. H.; Wilson, A.; Churcher, T. S.; Chibsa, S.; Murphy, M.; Balkew, M.; Irish, S.; Drakeley, C.; Gadisa, E.; Bousema, T.","Anopheles stephensi Mosquitoes as Vectors of Plasmodium vivax and falciparum, Horn of Africa, 2019",2021,,Ethiopia,Invasive,130,10,0.076923077,9.05E-05,Larvae,,,Tyres,Discarded human goods,Dipping,Aquatic larval collection,,i
"Tadesse, F. G.; Ashine, T.; Teka, H.; Esayas, E.; Messenger, L. A.; Chali, W.; Meerstein-Kessel, L.; Walker, T.; Wolde Behaksra, S.; Lanke, K.; Heutink, R.; Jeffries, C. L.; Mekonnen, D. A.; Hailemeskel, E.; Tebeje, S. K.; Tafesse, T.; Gashaw, A.; Tsegaye, T.; Emiru, T.; Simon, K.; Bogale, E. A.; Yohannes, G.; Kedir, S.; Shumie, G.; Sabir, S. A.; Mumba, P.; Dengela, D.; Kolaczinski, J. H.; Wilson, A.; Churcher, T. S.; Chibsa, S.; Murphy, M.; Balkew, M.; Irish, S.; Drakeley, C.; Gadisa, E.; Bousema, T.","Anopheles stephensi Mosquitoes as Vectors of Plasmodium vivax and falciparum, Horn of Africa, 2020",2021,,Ethiopia,Invasive,130,16,0.123076923,0.000144796,Larvae,,,Steel tanks,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
"Tadesse, F. G.; Ashine, T.; Teka, H.; Esayas, E.; Messenger, L. A.; Chali, W.; Meerstein-Kessel, L.; Walker, T.; Wolde Behaksra, S.; Lanke, K.; Heutink, R.; Jeffries, C. L.; Mekonnen, D. A.; Hailemeskel, E.; Tebeje, S. K.; Tafesse, T.; Gashaw, A.; Tsegaye, T.; Emiru, T.; Simon, K.; Bogale, E. A.; Yohannes, G.; Kedir, S.; Shumie, G.; Sabir, S. A.; Mumba, P.; Dengela, D.; Kolaczinski, J. H.; Wilson, A.; Churcher, T. S.; Chibsa, S.; Murphy, M.; Balkew, M.; Irish, S.; Drakeley, C.; Gadisa, E.; Bousema, T.","Anopheles stephensi Mosquitoes as Vectors of Plasmodium vivax and falciparum, Horn of Africa, 2021",2021,,Ethiopia,Invasive,130,38,0.292307692,0.000343891,Larvae,,,Cement tanks,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
"Tadesse, F. G.; Ashine, T.; Teka, H.; Esayas, E.; Messenger, L. A.; Chali, W.; Meerstein-Kessel, L.; Walker, T.; Wolde Behaksra, S.; Lanke, K.; Heutink, R.; Jeffries, C. L.; Mekonnen, D. A.; Hailemeskel, E.; Tebeje, S. K.; Tafesse, T.; Gashaw, A.; Tsegaye, T.; Emiru, T.; Simon, K.; Bogale, E. A.; Yohannes, G.; Kedir, S.; Shumie, G.; Sabir, S. A.; Mumba, P.; Dengela, D.; Kolaczinski, J. H.; Wilson, A.; Churcher, T. S.; Chibsa, S.; Murphy, M.; Balkew, M.; Irish, S.; Drakeley, C.; Gadisa, E.; Bousema, T.","Anopheles stephensi Mosquitoes as Vectors of Plasmodium vivax and falciparum, Horn of Africa, 2022",2021,,Ethiopia,Invasive,130,4,0.030769231,3.62E-05,Larvae,,,Tyres,Discarded human goods,Dipping,Aquatic larval collection,,i
"Tadesse, F. G.; Ashine, T.; Teka, H.; Esayas, E.; Messenger, L. A.; Chali, W.; Meerstein-Kessel, L.; Walker, T.; Wolde Behaksra, S.; Lanke, K.; Heutink, R.; Jeffries, C. L.; Mekonnen, D. A.; Hailemeskel, E.; Tebeje, S. K.; Tafesse, T.; Gashaw, A.; Tsegaye, T.; Emiru, T.; Simon, K.; Bogale, E. A.; Yohannes, G.; Kedir, S.; Shumie, G.; Sabir, S. A.; Mumba, P.; Dengela, D.; Kolaczinski, J. H.; Wilson, A.; Churcher, T. S.; Chibsa, S.; Murphy, M.; Balkew, M.; Irish, S.; Drakeley, C.; Gadisa, E.; Bousema, T.","Anopheles stephensi Mosquitoes as Vectors of Plasmodium vivax and falciparum, Horn of Africa, 2023",2021,,Ethiopia,Invasive,130,5,0.038461538,4.52E-05,Larvae,,,Steel tanks,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
